Sound,Volume (%),Valence (M),Valence (SD),Arousal (M),Arousal (SD),Source,Duration (ms)
"5,000 Hz",50,25.01785714,14.96993904,67.75595238,15.93482472,Audacity,1500
"5,000 Hz",100,11.99404762,12.51781719,80.98809524,15.03930116,Audacity,1500
800 Hz,50,40.89880952,15.66609026,56.9702381,14.50661486,Audacity,1500
800 Hz,100,31.5952381,17.86689005,68.00595238,15.89204811,Audacity,1500
Brownian Noise,50,63.01190476,16.35044972,36.76190476,16.03036956,Audacity,1500
Brownian Noise,100,51.80357143,18.01522413,51.54761905,16.88383754,Audacity,1500
"Cicada
(IADS-E; Yang et al., 2018)",50,81.41666667,13.81195425,32.23809524,18.80663754,IADS-E database,1500
"Cicada
(IADS-E; Yang et al., 2018)",100,77.05952381,14.8827556,42.79166667,20.74663688,IADS-E database,1500
"Dentist Drill
(Freesound)",50,35.26785714,16.84987691,61.17261905,14.94074522,Freesound database,500
"Dentist Drill
(Freesound)",100,21.86904762,15.87927327,73.16666667,15.99667385,Freesound database,500
"Frequency 1
(M = 8,033 Hz)",50,21.54761905,14.42024578,68.48809524,17.41675142,In-browser with react-tone ,1500
"Frequency 1
(M = 8,033 Hz)",100,12.64285714,12.64495981,79.55952381,16.35144973,In-browser with react-tone ,1500
"Frequency 2
(M = 4,004 Hz)",50,23.83928571,15.27403512,69.95238095,15.50662879,In-browser with react-tone ,1500
"Frequency 2
(M = 4,004 Hz)",100,11.91071429,12.0060629,82.41071429,13.5511438,In-browser with react-tone ,1500
"High Frequencies
(Zald and Pardo, 2002)",50,26.04166667,16.14527577,65.2797619,15.64503678,Zald & Pardo,1500
"High Frequencies
(Zald and Pardo, 2002)",100,16.20238095,13.27424335,75.44047619,14.77897496,Zald & Pardo,1500
"Metal Screech
(Zald and Pardo, 2002)",50,26.5,13.50011156,64.19047619,13.69898087,Zald & Pardo,1500
"Metal Screech
(Zald and Pardo, 2002)",100,18.49404762,13.36455798,72.71428571,13.69510635,Zald & Pardo,1500
"Piano Melody
(IADS-E; Yang et al., 2018)",50,88.20238095,10.87611483,23.53571429,15.25659757,IADS-E database,2000
"Piano Melody
(IADS-E; Yang et al., 2018)",100,88.57142857,10.8417263,30.13690476,19.03379227,IADS-E database,2000
Pink Noise,50,52.70833333,18.38857823,44.56547619,14.63877912,Audacity,1500
Pink Noise,100,35.66071429,19.87887429,61.14880952,19.01977091,Audacity,1500
"Scream
(IADS-E; Yang et al., 2018)",50,16.04166667,13.68320762,77.69047619,14.43262385,IADS-E database,2000
"Scream
(IADS-E; Yang et al., 2018)",100,11.24404762,12.68418379,84.5,13.3382772,IADS-E database,2000
"Scream
(Morriss et al., 2015; 2016; 2020)",50,13.04761905,13.19561333,81.73214286,13.11497958,Morriss et al.,1000
"Scream
(Morriss et al., 2015; 2016; 2020)",100,8.482142857,12.08664663,90.3452381,11.51425941,Morriss et al.,1000
"Sea Wave
(IADS-E; Yang et al., 2018)",50,80.55952381,13.60886599,32.73809524,18.74342876,IADS-E database,2000
"Sea Wave
(IADS-E; Yang et al., 2018)",100,73.5952381,16.86328374,44.39880952,19.10761845,IADS-E database,2000
"White Noise
(Bacigalupo & Luck, 2018)",50,38.08333333,19.29086702,59.70833333,16.88661842,Bacigalupo & Luck,1500
"White Noise
(Bacigalupo & Luck, 2018)",100,18.73214286,18.90806012,77.82738095,18.80840206,Bacigalupo & Luck,1500
